year,treatment,replicate,station,core,section,horizon_length,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,top_depth,bottom_depth,depth,n_percent,c_percent
2013,TSF,2,4,2,25-Oct,15,684.0550968,1.400068869,1.379228083,10,25,25,0.032333333,0.360933333
2013,TSF,2,4,2,0-10,10,456.0367312,1.311115862,1.373700751,0,10,10,0.111733333,1.365033333
2013,TSF,2,4,1,50-end,63,2873.031406,1.546342638,1.00355464,50,113,122,0.0155,0.05505
2013,TSF,2,4,1,25-50,25,1140.091828,1.563340818,1.621864094,25,50,50,0.025166667,0.19655
2013,TSF,2,4,1,25-Oct,15,684.0550968,1.186000474,1.206756596,10,25,25,0.071133333,0.724133333
2013,TSF,2,4,1,0-10,10,456.0367312,1.174161462,1.179308515,0,10,10,0.211066667,3.21845
2013,TSF,2,3,2,50-end,68,3101.049772,1.554487161,0.809211133,50,118,122,0.012966667,0.087533333
2013,TSF,2,3,2,25-50,25,1140.091828,1.522585802,1.562500455,25,50,50,0.023366667,0.230233333
2013,TSF,2,3,2,25-Oct,15,684.0550968,1.21723799,1.241899964,10,25,25,0.079233333,0.7664
2013,TSF,2,3,2,0-10,10,456.0367312,0.975752592,0.979434264,0,10,10,0.1424,1.701833333
2013,TSF,2,3,1,50-end,64,2918.63508,1.492425837,0.970153487,50,114,122,0.0102,0.072266667
2013,TSF,2,3,1,25-50,25,1140.091828,1.556992485,1.585726654,25,50,50,0.01625,0.0294
2013,TSF,2,3,1,25-Oct,15,684.0550968,1.109192942,1.149641314,10,25,25,0.081166667,0.940933333
2013,TSF,2,3,1,0-10,10,456.0367312,1.016191445,1.029693373,0,10,10,0.143333333,2.027033333
2013,TSF,2,2,2,50-end,64,2918.63508,1.601682632,0.684006032,50,114,122,0.015533333,0.07325
2013,TSF,2,2,2,25-50,25,1140.091828,1.650918298,1.678903359,25,50,50,0.032033333,0.215433333
2013,TSF,2,2,2,25-Oct,15,684.0550968,1.296428938,1.313107678,10,25,25,0.049933333,0.46175
2013,TSF,2,2,2,0-10,10,456.0367312,1.101120281,1.103569001,0,10,10,0.102033333,1.211733333
2013,TSF,2,2,1,50-end,63,2873.031406,1.614982594,0.849532656,50,113,122,0.0147,0.042
2013,TSF,2,2,1,25-Oct,15,684.0550968,1.482192884,1.515386706,10,25,25,0.043433333,0.482066667
2013,TCF,2,4,1,50-end,62,2827.427733,1.617910435,0.78029722,50,112,122,0.010333333,0.037566667
2013,TSF,3,2,2,50-end,63,2873.031406,1.364820351,0.944362806,50,113,122,0.01905,0.1334
2013,TSF,3,2,2,25-50,25,1140.091828,1.448424535,1.481243842,25,50,50,0.0495,0.542
2013,TSF,3,2,2,25-Oct,15,684.0550968,1.384997491,1.409605753,10,25,25,0.106566667,1.182133333
2013,TSF,3,2,2,0-10,10,456.0367312,1.180964107,1.193649465,0,10,10,0.133233333,1.433466667
2013,TSF,3,2,1,50-end,61,2781.82406,1.431483476,0.943352255,50,111,122,0.0177,0.1229
2013,TSF,3,2,1,25-50,25,1140.091828,1.528164773,1.55886566,25,50,50,0.035,0.369833333
2013,TSF,3,2,1,25-Oct,15,684.0550968,1.46022542,1.472495424,10,25,25,0.050233333,0.555833333
2013,TSF,3,2,1,0-10,10,456.0367312,1.118461188,1.131198355,0,10,10,0.102066667,1.034366667
2013,TSF,3,1,2,50-end,62,2827.427733,1.467772725,1.202373436,50,112,122,0.011933333,0.46365
2013,TSF,3,1,2,25-50,25,1140.091828,1.418066263,1.577262424,25,50,50,0.016833333,0.140633333
2013,TSF,3,1,2,25-Oct,15,684.0550968,1.350020363,1.540004606,10,25,25,0.062233333,0.553733333
2013,TSF,3,1,2,0-10,10,456.0367312,1.165167955,1.229282559,0,10,10,0.168166667,1.8232
2013,TSF,3,1,1,50-end,70,3192.257118,1.371939337,1.035406572,50,120,122,0.020866667,0.188833333
2013,TSF,3,1,1,25-50,25,1140.091828,1.549271831,1.645458685,25,50,50,0.0171,0.149133333
2013,TSF,3,1,1,25-Oct,15,684.0550968,1.398408993,1.468080575,10,25,25,0.048333333,0.32005
2013,TSF,3,1,1,0-10,10,456.0367312,1.553586232,1.743649021,0,10,10,0.1287,1.393333333
2013,TDF,2,5,2,50-end,68,3101.049772,1.604259995,0.89716522,50,118,122,0.014833333,0.09885
2013,TDF,2,5,2,25-50,25,1140.091828,1.530686989,1.550168115,25,50,50,0.0236,0.297633333
2013,TDF,2,5,2,25-Oct,15,684.0550968,1.137317381,1.144130062,10,25,25,0.0808,1.01875
2013,TDF,2,5,2,0-10,10,456.0367312,1.314319492,1.325568663,0,10,10,0.143766667,1.8884
2013,TDF,2,5,1,50-end,69,3146.653445,1.673366293,0.815267409,50,119,122,0.0057,0.067433333
2013,TDF,2,5,1,25-50,25,1140.091828,1.313403912,1.332387412,25,50,50,0.058633333,0.800166667
2013,TDF,2,5,1,25-Oct,15,684.0550968,1.20563613,1.22557087,10,25,25,0.119233333,1.650833333
2013,TDF,2,5,1,0-10,10,456.0367312,1.110353754,1.147359334,0,10,10,0.189733333,2.605366667
2013,TDF,2,4,2,50-end,61,2781.82406,1.658904676,1.090724623,50,111,122,0.0123,0.09935
2013,TDF,2,4,2,25-50,25,1140.091828,1.306896038,1.457938702,25,50,50,0.045133333,0.58225
2013,TDF,2,4,2,25-Oct,15,684.0550968,1.352026483,1.375368745,10,25,25,0.068233333,0.937166667
2013,TDF,2,4,2,0-10,10,456.0367312,0.987865854,0.992547243,0,10,10,0.236633333,3.541633333
2013,TDF,2,4,1,50-end,58,2645.013041,1.642178575,0.783506156,50,108,122,0.005633333,0.097166667
2013,TDF,2,4,1,25-50,25,1140.091828,1.377263751,1.390391512,25,50,50,0.028233333,0.386766667
2013,TDF,2,4,1,25-Oct,15,684.0550968,1.26677451,1.26058267,10,25,25,0.0772,1.0124
2013,TDF,2,4,1,0-10,10,456.0367312,1.276000584,1.276888374,0,10,10,0.199266667,2.852333333
2013,TDF,2,3,2,50-end,61,2781.82406,1.644755308,0.901489075,50,111,122,0.011666667,0.0615
2013,TDF,2,3,2,25-50,25,1140.091828,1.418449185,1.416073653,25,50,50,0.022633333,0.2875
2013,TDF,2,3,2,25-Oct,15,684.0550968,1.267395551,1.2649829,10,25,25,0.0826,1.069566667
2013,TDF,2,3,2,0-10,10,456.0367312,1.032601851,1.030482783,0,10,10,0.21555,3.20785
2013,TDF,2,3,1,25-50,25,1140.091828,1.358020586,1.369796679,25,50,50,0.027,0.400033333
2013,TDF,2,3,1,25-Oct,15,684.0550968,1.28211393,1.28056644,10,25,25,0.0615,0.8931
2013,TDF,2,3,1,0-10,10,456.0367312,1.079232486,1.07964549,0,10,10,0.1714,2.361033333
2013,TDF,2,2,2,50-end,64,2918.63508,1.601429123,0.844091136,50,114,122,0.0166,0.09415
2013,TDF,2,2,2,25-50,25,1140.091828,1.382280233,1.410749521,25,50,50,0.0389,0.5476
2013,TDF,2,2,2,25-Oct,15,684.0550968,1.15404016,1.155254897,10,25,25,0.09975,1.55045
2013,TDF,2,2,2,0-10,10,456.0367312,0.432224747,0.419852146,0,10,10,0.5193,16.28733333
2013,TDF,2,2,1,50-end,59,2690.616714,1.649389341,0.859421555,50,109,122,0.013766667,0.076133333
2013,TDF,2,2,1,25-50,25,1140.091828,1.422386818,1.423985297,25,50,50,0.0458,0.57995
2013,TDF,2,2,1,25-Oct,15,684.0550968,1.282301643,1.302991534,10,25,25,0.1084,1.4715
2013,TDF,2,2,1,0-10,10,456.0367312,1.102380416,1.10674857,0,10,10,0.204466667,2.8206
2013,TDF,2,1,2,50-end,63,2873.031406,1.564071998,0.793734449,50,113,122,0.004366667,0.062033333
2013,TDF,2,1,2,25-50,25,1140.091828,1.481127217,1.506548822,25,50,50,0.009466667,0.085633333
2013,TDF,2,1,2,25-Oct,15,684.0550968,1.330308832,1.405702559,10,25,25,0.0348,0.481966667
2013,TDF,2,1,2,0-10,10,456.0367312,1.09680313,1.168848831,0,10,10,0.284,3.6957
2013,TDF,2,1,1,50-end,64,2918.63508,1.606179547,0.787362564,50,114,122,0.014366667,0.157666667
2013,TDF,2,1,1,25-50,25,1140.091828,1.397895385,1.430739139,25,50,50,0.0395,0.42885
2013,TDF,2,1,1,0-10,10,456.0367312,1.306883632,1.309999742,0,10,10,0.132066667,1.893133333
2013,TCF,2,5,2,50-end,62,2827.427733,1.569577567,0.78433269,50,112,122,0.0176,0.159233333
2013,TCF,2,5,2,25-50,25,1140.091828,1.500345651,1.555386993,25,50,50,0.0316,0.296333333
2013,TCF,2,5,2,25-Oct,15,684.0550968,1.24075999,1.292626872,10,25,25,0.077266667,0.941133333
2013,TCF,2,5,2,0-10,10,456.0367312,1.193460665,1.254850675,0,10,10,0.138066667,2.049233333
2013,TCF,2,5,1,50-end,66,3009.842426,1.64258701,0.724564177,50,116,122,0.004066667,0.0157
2013,TCF,2,5,1,25-50,25,1140.091828,1.58038315,1.583928554,25,50,50,0.012466667,0.107566667
2013,TCF,2,5,1,25-Oct,15,684.0550968,1.228872145,1.258229058,10,25,25,0.068766667,0.8785
2013,TCF,2,5,1,0-10,10,456.0367312,0.937681531,0.968952652,0,10,10,0.155033333,2.135833333
2013,TCF,2,4,2,50-end,65,2964.238753,1.631990747,0.874657616,50,115,122,0.0083,0.110233333
