# Soil Bulk Density by Depth - Deep Cores
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/308
# The newest version of the data https://lter.kbs.msu.edu/datatables/308.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		sample year
# treatment		treatment that was sampled
# replicate		replicate plot that was sampled
# station		station within the plot that was sampled
# core		core identifier for the station (generally two cores were taken per station)
# section		horizon section (cores were divided into surface, middle and deep sections)
# horizon_length	centimeter	length of the horizon sampled
# total_bulk_density	gramsPerCubicCentimeter	bulk density (including any gravel)
# comments		any observations relating to this core
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,comments
#,,,,,,centimeter,gramsPerCubicCentimeter,
2013,TCF,3,5,2,25-50cm,25,1.4565353064, 
2013,TCF,3,5,2,10-25cm,15,1.3475054924, 
2013,TCF,3,5,2,0-10cm,10,1.0045418903, 
2013,TCF,3,5,1,50-end cm,68,0.9600793985, 
2013,TCF,3,5,1,25-50cm,25,1.5392303996, 
2013,TCF,3,5,1,10-25cm,15,1.4111845735, 
2013,TCF,3,5,1,0-10cm,10,0.994257631, 
2013,TCF,3,4,2,50-end cm,62,0.8276052372, 
2013,TCF,3,4,2,25-50cm,25,1.5126009657, 
2013,TCF,3,4,2,10-25cm,15,1.334816456, 
2013,TCF,3,4,2,0-10cm,10,1.1899655508, 
2013,TCF,3,4,1,50-end cm,63,0.8574197951, 
2013,TCF,3,4,1,25-50cm,25,1.5970415324, 
2013,TCF,3,4,1,10-25cm,15,1.4427609774, 
2013,TCF,3,4,1,0-10cm,10,1.168585694, 
2013,TCF,3,3,2,50-end cm,68,0.8787166283, 
2013,TCF,3,3,2,25-50cm,25,1.5888579811, 
2013,TCF,3,3,2,10-25cm,15,1.3524466148, 
2013,TCF,3,3,2,0-10cm,10,1.1312860669, 
2013,TCF,3,3,1,50-end cm,64,0.8857407416, 
2013,TCF,3,3,1,25-50cm,25,1.6104790465, 
2013,TCF,3,3,1,10-25cm,15,1.4139182714, 
2013,TCF,3,3,1,0-10cm,10,1.2831817263, 
2013,TCF,3,2,2,50-end cm,64,0.8044938596, 
2013,TCF,3,2,2,25-50cm,25,1.6419940518, 
2013,TCF,3,2,2,10-25cm,15,1.4893215544, 
2013,TCF,3,2,2,0-10cm,10,1.5467131302, 
2013,TCF,3,2,1,50-end cm,62,0.8770494718, 
2013,TCF,3,2,1,25-50cm,25,1.5483700143, 
2013,TCF,3,2,1,10-25cm,15,1.4282738402, 
2013,TCF,3,2,1,0-10cm,10,0.9634487092, 
2013,TCF,3,1,2,50-end cm,61,0.8378006479, 
2013,TCF,3,1,2,25-50cm,25,1.631319473, 
2013,TCF,3,1,2,10-25cm,15,1.3623873346, 
2013,TCF,3,1,2,0-10cm,10,1.4376868247, 
2013,TCF,3,1,1,50-end cm,62,0.8630897869, 
2013,TCF,3,1,1,25-50cm,25,1.5809901938, 
2013,TCF,3,1,1,10-25cm,15,1.4411236823, 
2013,TCF,3,1,1,0-10cm,10,1.3723631392, 
2013,TCF,2,5,2,50-end cm,62,0.78433269, 
2013,TCF,2,5,2,25-50cm,25,1.555386993, 
2013,TCF,2,5,2,10-25cm,15,1.292626872, 
2013,TCF,2,5,2,0-10cm,10,1.2548506751, 
2013,TCF,2,5,1,50-end cm,66,0.7245641769, 
2013,TCF,2,5,1,25-50cm,25,1.5839285536, 
2013,TCF,2,5,1,10-25cm,15,1.2582290579, 
2013,TCF,2,5,1,0-10cm,10,0.9689526518, 
2013,TCF,2,4,2,50-end cm,65,0.8746576158, 
2013,TCF,2,4,2,25-50cm,25,1.5997255267, 
2013,TCF,2,4,2,10-25cm,15,1.3335007725, 
2013,TCF,2,4,2,0-10cm,10,1.0167558188, 
2013,TCF,2,4,1,50-end cm,62,0.78029722, 
2013,TCF,2,4,1,25-50cm,25,1.7541341416, 
2013,TCF,2,4,1,10-25cm,15,1.4411675385, 
2013,TCF,2,4,1,0-10cm,10,1.1206071026, 
2013,TCF,2,3,2,50-end cm,57,0.8591005433, 
2013,TCF,2,3,2,25-50cm,25,1.5457123337, 
2013,TCF,2,3,2,10-25cm,15,1.316601549, 
2013,TCF,2,3,2,0-10cm,10,1.0089055739, 
2013,TCF,2,3,1,50-end cm,65,0.6809114138, 
2013,TCF,2,3,1,25-50cm,25,1.5814375261,Moldy spot 
2013,TCF,2,3,1,10-25cm,15,1.2661962524, 
2013,TCF,2,3,1,0-10cm,10,1.093284742, 
2013,TCF,2,2,2,50-end cm,65,0.7624601756, 
2013,TCF,2,2,2,25-50cm,25,1.508645144, 
2013,TCF,2,2,2,10-25cm,15,1.1664528249,Moldy spot 
2013,TCF,2,2,2,0-10cm,10,0.4028798284,Almost the entire section was a large piece of root- very moldy and mushy 
2013,TCF,2,2,1,50-end cm,66,0.79886707, 
2013,TCF,2,2,1,25-50cm,25,1.7160670325, 
2013,TCF,2,2,1,10-25cm,15,1.307713376, 
2013,TCF,2,2,1,0-10cm,10,1.0579147841, 
2013,TCF,2,1,2,50-end cm,66,0.893453417, 
2013,TCF,2,1,2,25-50cm,25,1.6848414776, 
2013,TCF,2,1,2,10-25cm,15,1.5287482031, 
2013,TCF,2,1,2,0-10cm,10,1.3073903026, 
2013,TCF,2,1,1,50-end cm,66,0.743375793, 
2013,TCF,2,1,1,25-50cm,25,1.5067768735, 
2013,TCF,2,1,1,10-25cm,15,1.2236704382, 
2013,TCF,2,1,1,0-10cm,10,1.140342355, 
2013,TCF,1,5,2,50-end cm,67,0.9615532085, 
2013,TCF,1,5,2,25-50cm,25,1.6070758118, 
2013,TCF,1,5,2,10-25cm,15,1.6165773857, 
2013,TCF,1,5,2,0-10cm,10,1.0563578919, 
2013,TCF,1,5,1,50-end cm,66,0.8816454899, 
2013,TCF,1,5,1,25-50cm,25,1.6513704895, 
2013,TCF,1,5,1,10-25cm,15,1.3398452907, 
2013,TCF,1,5,1,0-10cm,10,1.0815751589, 
2013,TCF,1,4,2,50-end cm,67,0.8860257757, 
2013,TCF,1,4,2,25-50cm,25,1.4566405611, 
2013,TCF,1,4,2,10-25cm,15,1.2992930017, 
2013,TCF,1,4,2,0-10cm,10,1.3120829071, 
2013,TCF,1,4,1,50-end cm,66,0.7861487963, 
2013,TCF,1,4,1,25-50cm,25,1.5076715382, 
2013,TCF,1,4,1,10-25cm,15,1.3618756799, 
2013,TCF,1,4,1,0-10cm,10,0.6724633764, 
2013,TCF,1,3,2,50-end cm,67,0.9123315908, 
2013,TCF,1,3,2,25-50cm,25,1.5195091812,roots 
2013,TCF,1,3,2,10-25cm,15,1.2995707571,significant roots 
2013,TCF,1,3,2,0-10cm,10,0.9151411969,significant roots 
2013,TCF,1,3,1,50-end cm,70,0.7635299757, 
2013,TCF,1,3,1,25-50cm,25,1.5387830673, 
2013,TCF,1,3,1,10-25cm,15,1.4514883445, 
2013,TCF,1,3,1,0-10cm,10,0.9952882497, 
2013,TCF,1,2,2,50-end cm,62,0.8868852669, 
2013,TCF,1,2,2,25-50cm,25,1.663843169, 
2013,TCF,1,2,2,10-25cm,15,1.3671237951, 
2013,TCF,1,2,2,0-10cm,10,0.5783920065, 
2013,TCF,1,2,1,50-end cm,62,0.8926502242, 
2013,TCF,1,2,1,25-50cm,25,1.5424757523, 
2013,TCF,1,2,1,10-25cm,15,1.4610343592, 
2013,TCF,1,2,1,0-10cm,10,0.963755702,roots 
2013,TCF,1,1,2,50-end cm,57,0.9442044914, 
2013,TCF,1,1,2,25-50cm,25,1.6240481289, 
2013,TCF,1,1,2,10-25cm,15,1.4942919142, 
2013,TCF,1,1,2,0-10cm,10,1.1178003111, 
2013,TCF,1,1,1,50-end cm,65,1.0103315724, 
2013,TCF,1,1,1,25-50cm,25,1.6273987362, 
2013,TCF,1,1,1,10-25cm,15,1.2957552749, 
2013,TCF,1,1,1,0-10cm,10,1.0065373436, 
2013,T8,4,5,2,50-end cm,57,1.1833049608, 
2013,T8,4,5,2,25-50cm,25,1.6842450344, 
