year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,
2001,T8,1,1,1,Deep,59,1.405640713,
2001,T7,6,5,2,Surface,25,1.213175486,
2001,T7,6,5,2,Middle,43,1.512352588,
2001,T7,6,5,2,Deep,32,1.424318798,
2001,T7,6,5,1,Surface,25,1.187914847,changed from 30cm to 25 based on color and texture
2001,T7,6,5,1,Middle,24,1.624836782,
2001,T7,6,5,1,Deep,51,1.648542381,
2001,T7,6,4,2,Surface,25,1.29514626,
2001,T7,6,4,2,Middle,35,1.597758381,
2001,T7,6,4,2,Deep,40,1.327057623,
2001,T7,6,4,1,Surface,24,1.192595194,
2001,T7,6,4,1,Middle,35,1.407532647,
2001,T7,6,4,1,Deep,41,1.378803811,
2001,T7,6,3,2,Surface,22,1.418991605,
2001,T7,6,3,2,Middle,26,1.44731869,
2001,T7,6,3,2,Deep,52,1.492573655,
2001,T7,6,3,1,Surface,21,1.274827083,
2001,T7,6,3,1,Middle,24,1.487374412,
2001,T7,6,3,1,Deep,49,1.483709877,compressed only goes to 94
2001,T7,6,2,2,Surface,24,1.253330764,
2001,T7,6,2,2,Middle,33,1.512218933,
2001,T7,6,2,2,Deep,43,1.419521075,
2001,T7,6,2,1,Surface,24,1.268712006,
2001,T7,6,2,1,Middle,27,1.53314643,
2001,T7,6,2,1,Deep,49,1.44018917,
2001,T7,6,1,2,Surface,23,1.373209023,root mas  3 cm
2001,T7,6,1,2,Middle,31,1.501524606,
2001,T7,6,1,2,Deep,46,1.497933428,
2001,T7,6,1,1,Surface,24,1.375459735,large root mass
2001,T7,6,1,1,Middle,27,1.570474977,
2001,T7,6,1,1,Deep,49,1.517207171,
2001,T7,5,5,2,Surface,21,1.193796202,
2001,T7,5,5,2,Middle,38,1.261734925,
2001,T7,5,5,2,Deep,41,1.471525339,
2001,T7,5,5,1,Surface,24,1.174714202,
2001,T7,5,5,1,Middle,59,1.323494496,
2001,T7,5,5,1,Deep,17,1.511060694,
2001,T7,5,4,2,Surface,22,1.352408423,
2001,T7,5,4,2,Middle,19,1.480510642,
2001,T7,5,4,2,Deep,59,1.448688403,
2001,T7,5,4,1,Surface,23,1.324622231,
2001,T7,5,4,1,Middle,31,1.389473116,
2001,T7,5,4,1,Deep,46,1.370129446,
2001,T7,5,3,2,Surface,20,1.41470917,
2001,T7,5,3,2,Middle,17,1.481477378,
2001,T7,5,3,2,Deep,63,1.432335186,
2001,T7,5,3,1,Surface,22,1.27472152,
2001,T7,5,3,1,Middle,18,1.482019683,
2001,T7,5,3,1,Deep,60,1.419142221,
2001,T7,5,2,2,Surface,26,1.326160363,
2001,T7,5,2,2,Middle,32,1.353779181,
2001,T7,5,2,2,Deep,42,1.440617113,
2001,T7,5,2,1,Surface,24,1.259466516,
2001,T7,5,2,1,Middle,38,1.291014302,
